Filepath,Bird-Species
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-0.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-1.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-10.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-11.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-12.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-13.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-14.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-15.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-16.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-17.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-18.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-19.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-2.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-20.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-21.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-22.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-23.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-24.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-25.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-26.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-27.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-28.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-29.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-3.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-30.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-31.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-32.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-33.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-34.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-35.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-36.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-4.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-5.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-6.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-7.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-8.png,Asian-Koel
data\spectrogram_dataset\test\Asian-Koel\Asian-Koel-9.png,Asian-Koel
data\spectrogram_dataset\test\Black-breasted-Parrotbill\Black-breasted-Parrotbill-0.png,Black-breasted-Parrotbill
data\spectrogram_dataset\test\Black-breasted-Parrotbill\Black-breasted-Parrotbill-1.png,Black-breasted-Parrotbill
data\spectrogram_dataset\test\Black-breasted-Parrotbill\Black-breasted-Parrotbill-2.png,Black-breasted-Parrotbill
data\spectrogram_dataset\test\Black-breasted-Parrotbill\Black-breasted-Parrotbill-3.png,Black-breasted-Parrotbill
data\spectrogram_dataset\test\Black-Kite\Black-Kite-0.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-1.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-10.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-11.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-12.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-13.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-14.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-15.png,Black-Kite
data\spectrogram_dataset\test\Black-Kite\Black-Kite-16.png,Black-Kite
