Filepath,Bird-Species
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-0.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-1.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-10.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-100.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-101.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-102.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-103.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-104.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-105.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-106.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-107.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-108.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-109.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-11.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-110.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-111.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-112.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-113.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-114.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-115.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-116.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-117.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-118.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-119.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-12.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-120.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-121.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-122.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-123.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-124.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-125.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-126.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-127.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-128.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-129.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-13.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-130.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-131.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-132.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-133.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-134.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-135.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-136.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-137.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-138.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-139.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-14.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-140.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-141.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-142.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-143.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-144.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-145.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-146.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-147.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-148.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-149.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-15.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-150.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-151.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-152.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-153.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-154.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-155.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-156.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-157.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-158.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-159.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-16.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-160.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-161.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-162.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-163.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-164.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-165.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-166.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-167.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-168.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-169.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-17.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-170.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-171.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-172.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-173.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-174.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-175.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-176.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-177.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-178.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-179.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-18.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-180.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-181.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-182.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-183.png,Asian-Koel
data\spectrogram_dataset\train\Asian-Koel\Asian-Koel-184.png,Asian-Koel
